Sample 439: No. iterations = 512, Error = 0.00106758
Sample 440: No. iterations = 512, Error = 0.00206425
Sample 441: No. iterations = 512, Error = 0.00194645
Sample 442: No. iterations = 512, Error = 0.00160783
Sample 443: No. iterations = 388, Error = 0.000998743
Sample 444: No. iterations = 512, Error = 0.00161954
Sample 445: No. iterations = 512, Error = 0.00728269
Sample 446: No. iterations = 512, Error = 0.00116019
Sample 447: No. iterations = 512, Error = 0.00215729
Sample 448: No. iterations = 512, Error = 0.00181601
Sample 449: No. iterations = 512, Error = 0.00132565
Sample 450: No. iterations = 512, Error = 0.00145715
Sample 451: No. iterations = 309, Error = 0.000998682
Sample 452: No. iterations = 512, Error = 0.00137256
Sample 453: No. iterations = 512, Error = 0.00159725
Sample 454: No. iterations = 368, Error = 0.000998588
Sample 455: No. iterations = 512, Error = 0.00106833
Sample 456: No. iterations = 336, Error = 0.000999785
Sample 457: No. iterations = 512, Error = 0.00164641
Sample 458: No. iterations = 512, Error = 0.00160016
Sample 459: No. iterations = 208, Error = 0.000998331
Sample 460: No. iterations = 512, Error = 0.00151491
Sample 461: No. iterations = 512, Error = 0.00219987
Sample 462: No. iterations = 348, Error = 0.000999214
Sample 463: No. iterations = 494, Error = 0.000999418
Sample 464: No. iterations = 512, Error = 0.00244301
Sample 465: No. iterations = 512, Error = 0.00131457
Sample 466: No. iterations = 305, Error = 0.000998885
Sample 467: No. iterations = 1, Error = 0.000773562
Sample 468: No. iterations = 512, Error = 0.00140423
Sample 469: No. iterations = 512, Error = 0.00132381
Sample 470: No. iterations = 512, Error = 0.0014072
Sample 471: No. iterations = 512, Error = 0.0022198
Sample 472: No. iterations = 512, Error = 0.0023374
Sample 473: No. iterations = 512, Error = 0.00238866
Sample 474: No. iterations = 512, Error = 0.0010723
Sample 475: No. iterations = 512, Error = 0.00206338
Sample 476: No. iterations = 512, Error = 0.00268221
Sample 477: No. iterations = 512, Error = 0.00217528
Sample 478: No. iterations = 1, Error = 0.00071235
Sample 479: No. iterations = 512, Error = 0.00179175
Sample 480: No. iterations = 512, Error = 0.00110162
Sample 481: No. iterations = 512, Error = 0.00138072
Sample 482: No. iterations = 512, Error = 0.00260829
Sample 483: No. iterations = 512, Error = 0.00230142
Sample 484: No. iterations = 512, Error = 0.00178344
Sample 485: No. iterations = 512, Error = 0.00109105
Sample 486: No. iterations = 512, Error = 0.00124396
Sample 487: No. iterations = 512, Error = 0.00121894
Sample 488: No. iterations = 512, Error = 0.00257016
